country,alpha_2_code_x,alpha_3_code_x,numeric_code_x,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age,alpha_2_code_y,alpha_3_code_y,numeric_code_y,year,"Population, total",GDP per capita (constant 2015 US$),GNI (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),Fossil fuel energy consumption (% of total),GDP growth (annual %),"Birth rate, crude (per 1,000 people)","Hospital beds (per 1,000 people)"
Burundi,BI,BDI,108,Moderate food poverty,2016,64.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BI,BDI,108,2016,11239451,274.5133634,2643216721,5.557689614,60.793,2.243163864,,-0.600000909,39.479,
Burundi,BI,BDI,108,Moderate food poverty,2016,63.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BI,BDI,108,2016,11239451,274.5133634,2643216721,5.557689614,60.793,2.243163864,,-0.600000909,39.479,
Burundi,BI,BDI,108,Moderate food poverty,2016,62.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BI,BDI,108,2016,11239451,274.5133634,2643216721,5.557689614,60.793,2.243163864,,-0.600000909,39.479,
Burundi,BI,BDI,108,Moderate food poverty,2010,62.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BI,BDI,108,2010,9376444,289.8569506,2021267251,6.493265915,57.081,,,5.124159994,46.691,
Madagascar,MG,MDG,450,Moderate food poverty,2009,62.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MG,MDG,450,2009,21547280,457.7897549,9470022799,8.954218024,62.734,0.738132953,,-3.978708612,36.743,
Uganda,UG,UGA,800,Moderate food poverty,2006,62.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2006,28794003,650.2705409,9728932904,7.310676136,54.369,1.503426017,,10.78474439,45.363,1.1
Uganda,UG,UGA,800,Moderate food poverty,2020,62.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2020,44457152,917.0350318,36830875673,3.313322895,62.851,2.73212093,,2.951306422,37.252,
Burundi,BI,BDI,108,Moderate food poverty,2010,61.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,BI,BDI,108,2010,9376444,289.8569506,2021267251,6.493265915,57.081,,,5.124159994,46.691,
Uganda,UG,UGA,800,Moderate food poverty,2006,61.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,UG,UGA,800,2006,28794003,650.2705409,9728932904,7.310676136,54.369,1.503426017,,10.78474439,45.363,1.1
Madagascar,MG,MDG,450,Moderate food poverty,2009,61.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old,MG,MDG,450,2009,21547280,457.7897549,9470022799,8.954218024,62.734,0.738132953,,-3.978708612,36.743,
